"Race","Distance(km)","Climb (m)","Mens Time (min)","Womens Time (min)"
"Alva Games Hill Race",2.5,385,"18.650000","25.816667"
"Aonach Mor Uphill Race",4,610,"22.250000","26.466667"
"Arrochar Alps",25,2400,"187.65000","249.43333"
"Beinn Lora Hill Race",5,340,"26.800000","32.833333"
"Ben Aigan Hill Race",6.4,326,"28.466667","34.416667"
"Ben Lomond Hill Race",12.6,980,"62.266667","71.950000"
"Ben Nevis Race",14,1360,"85.566666","103.41667"
"Ben Rinnes Hill Race",22.4,1570,"117.00000","141.35000"
"Ben Sheann Hill Race",4,426,"22.900000","27.616667"
"Bennachie Hill Race",12.8,550,"55.166666","61.416667"
"Birnam Hill Race",6.5,535,"29.600001","33.783333"
"Bishop Hill Race",3.5,300,"17.483334","21.266667"
"Caerketton Hill Race",2.4,240,"12.300000","14.800000"
"Cairn Table Hill Race",8,360,"31.133333","40.633334"
"Cairn William Hill Race",11,430,"46.300000","53.850000"
"Cairnpapple Hill Race",8.5,160,"NA","NA"
"Carnethy 5 Hill Race",9,750,"46.933334","54.333333"
"Carnethy Midweek Hill Race",5,350,"24.450000","29.349999"
"Cathkin Braes Hill Race",8,305,"34.916666","40.250000"
"Chapelgill Hill Race",2.4,430,"18.833334","22.166667"
"Cioch Mhor Hill Race",12.8,685,"68.300001","89.783333"
"Ciachnaben Hill Race",16,1050,"NA","NA"
"Cort-ma Law Hill Race",10,450,"48.266667","53.283334"
"Cow Hill Race",3.2,280,"16.933333","21.633333"
"Craig Dunain Hill Race",9.7,275,"32.533334","35.716667"
"Craigengowr Hill Race",3,200,"16.183333","20.616667"
"Creag Dhubh Hill Race",7.2,370,"27.116667","32.350000"
"Criffel Hill Race",11,550,"47.566666","56.783333"
"Culter Fell Horseshoe Race",17.5,1490,"103.30000","119.26667"
"Deuchary Hill Race",18,800,"90.833334","98.700000"
"Devils Beeftub Hill Race",3.2,230,"19.833333","24.100000"
"Dollar Hill Race",14,960,"71.883333","84.166667"
"Druim Fada Chase",10.5,335,"43.366667","54.083333"
"Dumyat Hill Race",7.8,440,"32.866667","36.766666"
"Durisdeer Hill Race",14.7,1240,"81.883333","94.716667"
"Durris Mast Hill Race",8.8,305,"38.833334","43.000000"
"Eagle Crag Hill Race",8.7,762,"58.466667","73.483334"
"Eildon Hills Race",7.2,460,"25.800000","30.466666"
"El-Brim-Ick Dash",4.8,230,"19.766667","23.350000"
"Falkland Hill Race",4,365,"19.400000","24.050000"
"Fyrish Hill Race",11.3,365,"51.616666","52.366667"
"Gargunnock Hill Race",7.5,300,"30.583333","38.133333"
"Glamaig Hill Race",7,775,"44.683334","56.166667"
"Glas Tulaichean (uphill)",7.2,670,"33.833333","38.833334"
"Glen Clova Hill Race",26,1800,"154.03333","177.73333"
"Glen Rosa Horseshoe",20,1580,"138.81667","162.28333"
"Glenshee 9",33,1800,"206.73333","253.51667"
"Goatfell Hill Race",12.9,870,"73.666666","86.350000"
