YearGroup,Major
Sophomore,Computer Science
Junior,Computer Science
Sophomore,Computer Science
Sophomore,Computer Science
Junior,Computer Science
Junior,Computer Science
Junior,Computer Science
Senior,"Chemistry, Environmental"
Junior,"Environmental Science, Life Science"
Sophomore,Computer Science
Junior,Actuarial Science
Senior,"Mathematics, Statistics"
Sophomore,Actuarial Science
Freshman,Actuarial Science
Sophomore,Computer Science
Sophomore,Computer Science
Junior,"Mathematics, Computation"
Sophomore,Computer Science
Sophomore,Computer Science
Senior,Computer Science
Sophomore,Computer Science
Junior,Computer Science
Freshman,Computer Science
Junior,Mathematics
Junior,Actuarial Science
Junior,"Mathematics, General Mathematics"
Sophomore,Computer Science
Senior,"Environmental Science, Life Science"
Junior,Computer Science
Senior,"Environmental Science, Life Science"
Sophomore,Computer Science
Sophomore,Computer Science
Junior,Actuarial Science
Junior,Computer Science
Junior,Actuarial Science
Sophomore,Computer Science
Junior,Computer Science
Senior,"Environmental Science, Life Science"
Senior,"Physics, Applied Physics"
Sophomore,Computer Science
Sophomore,"Mathematics, Statistics"
Sophomore,Actuarial Science
Junior,Computer Science
Senior,Computer Science
Sophomore,Computer Science
Junior,Actuarial Science
Sophomore,"Environmental Science, Life Science"
Junior,Computer Science
Junior,Computer Science
Junior,"Mathematics, Life Sciences"
Sophomore,"Environmental Science, Life Science"
Junior,Computer Science
Freshman,Computer Science
Junior,Computer Science
Freshman,Computer Science
Sophomore,Computer Science
Sophomore,"Geology, Paleontology"
Junior,Computer Science
Senior,Computer Science
Junior,Computer Science
