"","Id","Age_Cohort","Age","Gender","Expenditures","Ethnicity"
"1",10210,"13-17",17,"Female",2113,"White not Hispanic"
"2",10409,"22-50",37,"Male",41924,"White not Hispanic"
"3",10486,"0-5",3,"Male",1454,"Hispanic"
"4",10538,"18-21",19,"Female",6400,"Hispanic"
"5",10568,"13-17",13,"Male",4412,"White not Hispanic"
"6",10690,"13-17",15,"Female",4566,"Hispanic"
"7",10711,"13-17",13,"Female",3915,"White not Hispanic"
"8",10778,"13-17",17,"Male",3873,"Black"
"9",10820,"13-17",14,"Female",5021,"White not Hispanic"
"10",10823,"13-17",13,"Male",2887,"Hispanic"
"11",11000,"13-17",13,"Female",4154,"White not Hispanic"
"12",11024,"13-17",14,"Male",3048,"Hispanic"
"13",11115,"13-17",15,"Female",2757,"White not Hispanic"
"14",11189,"13-17",17,"Male",5340,"Multi Race"
"15",11201,"18-21",20,"Male",10047,"Hispanic"
"16",11210,"22-50",25,"Female",34795,"Black"
"17",11379,"22-50",23,"Female",43025,"White not Hispanic"
"18",11380,"22-50",41,"Male",54115,"Asian"
"19",11441,"0-5",5,"Female",1748,"Hispanic"
"20",11466,"13-17",15,"Female",4515,"Hispanic"
"21",11812,"0-5",5,"Male",1861,"Hispanic"
"22",11842,"0-5",5,"Male",1598,"Hispanic"
"23",11922,"22-50",22,"Female",46571,"Hispanic"
"24",11935,"0-5",3,"Male",1066,"Hispanic"
"25",12127,"13-17",16,"Female",3867,"Black"
"26",12137,"51 +",71,"Female",57928,"White not Hispanic"
"27",12207,"13-17",13,"Female",4002,"White not Hispanic"
"28",12530,"18-21",18,"Female",10434,"Asian"
"29",12589,"51 +",63,"Female",56134,"White not Hispanic"
"30",12834,"0-5",1,"Male",1070,"White not Hispanic"
"31",12850,"13-17",13,"Male",3775,"Multi Race"
"32",12990,"22-50",27,"Female",35284,"White not Hispanic"
"33",13119,"18-21",21,"Male",7219,"White not Hispanic"
"34",13120,"13-17",14,"Male",4681,"White not Hispanic"
"35",13195,"13-17",15,"Female",4629,"Asian"
"36",13621,"0-5",3,"Female",2750,"White not Hispanic"
"37",13692,"13-17",15,"Female",3392,"Asian"
"38",13722,"13-17",14,"Male",5696,"Black"
"39",13826,"22-50",30,"Female",46660,"White not Hispanic"
"40",14233,"6-12",6,"Female",2354,"Hispanic"
"41",14367,"22-50",33,"Male",40781,"White not Hispanic"
"42",14427,"6-12",10,"Female",2559,"Black"
"43",14520,"22-50",25,"Female",36428,"White not Hispanic"
"44",14523,"0-5",3,"Male",674,"Hispanic"
"45",14648,"22-50",26,"Male",39844,"Asian"
"46",14653,"13-17",17,"Male",4046,"White not Hispanic"
"47",14665,"22-50",33,"Male",36184,"White not Hispanic"
"48",14845,"13-17",16,"Male",4968,"Hispanic"
"49",15034,"22-50",24,"Male",36901,"White not Hispanic"
"50",15060,"51 +",63,"Female",50419,"White not Hispanic"
"51",15111,"0-5",1,"Female",340,"White not Hispanic"
"52",15205,"22-50",24,"Female",42192,"Black"
"53",15366,"51 +",75,"Female",49239,"White not Hispanic"
"54",15422,"22-50",27,"Male",36057,"White not Hispanic"
"55",15448,"6-12",8,"Female",2895,"Hispanic"
"56",15487,"22-50",24,"Male",31512,"White not Hispanic"
"57",15778,"6-12",10,"Female",1915,"Hispanic"
"58",15801,"13-17",16,"Male",4091,"Hispanic"
"59",15888,"13-17",13,"Male",4798,"Hispanic"
"60",15970,"51 +",51,"Female",54267,"White not Hispanic"
"61",16048,"6-12",6,"Female",1783,"Asian"
