Prepulse,Slowsong,Fastsong,Favmusic,Slowdiff,Fastdiff,Fastdiff_Minus_Slowdiff
72,78,80,1,6,8,2
66,66,69,3,0,3,3
70,86,78,3,16,8,-8
58,63,59,2,5,1,-4
65,80,74,3,15,9,-6
62,61,63,2,-1,1,2
72,76,77,2,4,5,1
54,59,61,3,5,7,2
69,71,72,4,2,3,1
59,59,61,3,0,2,2
63,69,78,1,6,15,9
63,59,62,3,-4,-1,3
60,57,63,4,-3,3,6
55,58,66,3,3,11,8
56,60,63,4,4,7,3
70,75,75,3,5,5,0
75,77,79,3,2,4,2
45,52,48,4,7,3,-4
72,71,73,3,-1,1,2
66,67,65,3,1,-1,-2
62,62,63,3,0,1,1
76,75,77,3,-1,1,2
56,62,65,2,6,9,3
61,59,61,1,-2,0,2
79,81,94,3,2,15,13
72,72,78,2,0,6,6
70,68,69,2,-2,-1,1
56,52,54,3,-4,-2,2
