CASEID,DEATHPEN,SEX
    1,0,2
    3,0,2
    4,0,2
    5,0,2
    6,0,1
    7,0,1
    8,0,1
    9,0,2
   10,0,2
   11,0,2
   12,0,1
   13,0,1
   14,0,2
   15,0,1
   16,0,1
   17,0,1
   18,0,2
   19,0,2
   20,0,2
   21,0,1
   22,0,1
   23,0,1
   24,0,2
   26,0,2
   27,0,1
   28,0,2
   29,0,1
   30,0,1
   31,0,1
   32,0,2
   33,0,1
   35,0,1
   36,0,1
   37,0,2
   38,0,2
   39,0,1
   40,0,2
   42,0,1
   43,0,1
   44,0,2
   45,0,2
   46,0,2
   47,0,1
   48,0,1
   49,0,1
   50,0,1
   51,0,1
   52,0,1
   53,0,1
   54,0,2
   55,0,2
   56,0,1
   57,0,2
   58,0,2
   59,0,2
   60,0,2
   61,0,1
   62,0,2
   63,0,1
   64,0,1
   65,0,1
   66,0,2
   67,0,1
   68,0,2
   69,0,2
   70,0,1
   71,0,1
   72,0,2
   74,0,2
   75,0,1
   76,0,1
   77,0,2
   78,0,2
   79,0,1
   80,0,2
   81,0,1
   82,0,2
   83,0,1
   84,0,2
   85,0,1
   86,0,1
   87,0,2
   88,0,2
   89,0,1
   90,0,2
   91,0,1
   92,0,2
   93,0,2
   94,0,1
   95,0,2
   96,0,1
   97,0,1
   98,0,2
   99,0,1
  100,0,2
  101,0,1
  102,0,1
  103,0,2
  104,0,1
  105,0,1
  107,0,2
  108,0,2
  109,0,2
  110,0,1
  111,0,1
  112,0,1
  113,0,2
  114,0,1
  115,0,1
  116,0,2
  117,0,1
  118,0,2
  119,0,2
  120,0,2
  121,0,2
  122,0,1
  123,0,1
  126,0,2
  127,0,2
  128,0,2
  130,0,1
  132,0,1
  133,0,1
  134,0,2
  135,0,2
  136,0,1
  137,0,2
  138,0,1
  141,0,1
  143,0,1
  147,0,1
  149,0,1
  150,0,2
  151,0,1
  152,0,1
  153,0,2
  154,0,2
  155,0,2
  156,0,2
  157,0,2
  158,0,2
  159,0,1
  160,0,2
  161,0,1
  162,0,1
  163,0,1
  164,0,1
  165,0,1
  166,0,2
  167,0,1
  168,0,2
  170,0,2
  172,0,1
  173,0,1
  175,0,1
  176,0,1
  177,0,2
  178,0,1
  179,0,2
  180,0,2
  181,0,2
  182,0,2
  184,0,2
  185,0,1
  186,0,1
  187,0,1
  188,0,1
  189,0,2
  190,0,1
  191,0,1
  192,0,1
  193,0,2
  194,0,2
  195,0,2
  196,0,2
  197,0,1
  198,0,1
  199,0,1
  200,0,1
  201,0,2
  202,0,2
  203,0,1
  204,0,2
  205,0,1
  206,0,2
  207,0,2
  208,0,1
  209,0,2
  210,0,1
  211,0,1
  212,0,2
  214,0,2
  216,0,2
  217,0,1
  218,0,2
  219,0,1
  222,0,2
  223,0,2
  224,0,2
  225,0,2
  226,0,1
  227,0,1
  228,0,1
  230,0,1
  231,0,2
  232,0,1
  233,0,1
  234,0,2
  236,0,1
  237,0,2
  238,0,2
  239,0,1
  240,0,2
  241,0,2
  242,0,1
  244,0,1
  246,0,2
  248,0,1
  249,0,2
  250,0,2
  252,0,2
  253,0,2
  254,0,1
  255,0,2
  256,0,1
  257,0,1
  258,0,1
  259,0,2
  260,0,2
  262,0,1
  263,0,1
  265,0,1
  266,0,2
  267,0,1
  268,0,2
  269,0,1
