GENDER,AGE,MARSTAT,EDUCATION,ETHNICITY,SMARSTAT,SGENDER,SAGE,SEDUCATION,NUMHH,INCOME,TOTINCOME,CHARITY,FACE,FACECVLIFEPOLICIES,CASHCVLIFEPOLICIES,BORROWCVLIFEPOL,NETVALUE
1,30,1,16,3,2,2,27,16,3,43000,43000,0,20000,0,0,0,0
1,50,1,9,3,1,2,47,8,3,12000,0,0,130000,0,0,0,0
1,39,1,16,1,2,2,38,16,5,120000,90000,500,1500000,0,0,0,0
1,43,1,17,1,1,2,35,14,4,40000,40000,0,50000,75000,0,5,0
1,61,1,15,1,2,2,59,12,2,25000,1020000,500,0,7000000,300000,5,0
1,34,2,11,2,1,2,31,14,4,28000,0,0,220000,0,0,0,0
0,75,0,8,1,0,0,0,0,1,2500,0,0,0,14000,5000,5,0
1,29,1,16,1,2,2,31,17,3,100000,84000,0,600000,0,0,0,0
1,35,2,4,3,1,2,45,9,2,20000,0,0,0,0,0,0,0
1,70,1,17,1,2,2,74,16,2,101000,6510000,284000,0,2350000,0,5,0
1,72,1,17,1,2,2,70,14,2,112000,8460000,12000,100000,0,0,0,0
1,51,1,16,1,2,2,52,14,4,15000,300000,10000,2500000,200000,37000,1,3
1,23,0,14,1,0,0,0,0,4,11000,0,0,0,0,0,0,0
1,58,0,14,1,0,0,0,0,1,32000,0,0,250000,0,0,0,0
1,36,1,16,1,2,2,33,12,2,57000,33000,7300,0,354000,1700,5,0
1,58,1,14,1,2,2,50,12,4,220000,230000,1200,0,400000,40000,5,0
1,73,1,12,2,2,2,65,16,2,25000,41000,1000,50000,0,0,0,0
0,50,0,12,1,0,0,0,0,2,20000,0,0,0,0,0,0,0
1,35,2,12,2,1,2,31,12,6,40000,0,0,90000,40000,950,5,0
0,26,0,14,1,0,0,0,0,2,25000,0,0,0,0,0,0,0
1,60,1,16,1,2,2,55,14,2,66000,66000,1200,10000,0,0,0,0
1,46,2,17,1,3,1,37,16,4,120000,196000,0,2000000,500000,5000,5,0
0,43,0,13,2,0,0,0,0,3,13000,0,0,50000,0,0,0,0
1,36,2,9,3,3,2,24,8,5,17000,17000,0,0,0,0,0,0
